OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,VOLTAGE,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
161,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,163,Rangeway,Operational,132,Geraldton,Western Australia,5,23/02/2017,,-28.78549796,114.6237408
162,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,164,Mount Millar Wind Farm,Operational,132,Hawker,South Australia,5,23/02/2017,,-33.62536079,136.7037056
163,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,165,Wangara,Operational,132,Wangara,Western Australia,3,23/02/2017,,-31.79671948,115.8240048
164,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,166,Joondalup,Operational,132,Joondalup,Western Australia,5,23/02/2017,,-31.73839775,115.7590151
165,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,167,Clarkson,Operational,132,Clarkson,Western Australia,5,23/02/2017,,-31.67124535,115.7284711
166,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,168,Neerabup ,Operational,132,Pinjar,Western Australia,5,23/02/2017,,-31.68180255,115.8219549
167,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,169,Ingle Farm,Operational,110,Ingle Farm,South Australia,5,23/02/2017,,-34.82143033,138.6513206
168,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,170,Wells Terminal,Operational,330,Mount Wells,Western Australia,5,23/02/2017,,-32.71731119,116.3165261
169,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,172,Cape Nelson North Wind Farm,Operational,66,Portland West,Victoria,5,23/02/2017,Wind,-38.36608477,141.5479875
170,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,173,Cape Bridgewater Wind Farm,Operational,66,Cape Bridgewater,Victoria,5,23/02/2017,Wind,-38.372159,141.3794415
171,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,174,Binningup Desalination Plant,Operational,132,Binningup,Western Australia,2,23/02/2017,,-33.129828,115.7056005
172,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,175,Meadow Springs,Operational,132,Lakelands,Western Australia,5,23/02/2017,,-32.48478265,115.7651619
173,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,176,Bluewaters ,Operational,330,Palmer,Western Australia,5,23/02/2017,,-33.33187561,116.2338208
174,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,177,Murdoch,Operational,132,Murdoch,Western Australia,5,23/02/2017,,-32.07749733,115.8431726
175,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,178,Somerton,Operational,66,Somerton,Victoria,5,23/02/2017,,-37.62247383,144.9486348
176,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,179,Stanwell Power Station ,Operational,132,Stanwell,Queensland,5,23/02/2017,,-23.515966,150.321371
177,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,180,Yarwun,Operational,132,Yarwun,Queensland,5,23/02/2017,,-23.83125089,151.1527306
178,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,181,Gladstone,Operational,132,Callemondah,Queensland,5,23/02/2017,,-23.84979135,151.2166749
179,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,182,Gladstone South,Operational,132,Toolooa,Queensland,5,23/02/2017,,-23.88630268,151.2736534
180,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,183,Aramara,Operational,132,Doongul,Queensland,1,23/02/2017,,-25.51095804,152.3490329
181,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,184,Queensland Alumina Limited Sou,Operational,132,South Trees,Queensland,5,23/02/2017,,-23.8731405,151.2889405
182,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,185,Yabulu South,Operational,132,Black River,Queensland,5,23/02/2017,,-19.25107877,146.5745957
183,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,186,Blue Valley,Operational,132,Mount Wyatt,Queensland,5,23/02/2017,,-20.44895039,147.3462236
